
                       mean       std    median      2.5%     97.5%     n_eff     r_hat
     sigma[1,2,2]      0.00      0.00      0.00      0.00      0.00   7557.02      1.00
     sigma[1,2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,3,0]     -0.00      0.00     -0.00     -0.00      0.00   5936.57      1.00
     sigma[1,3,1]     -0.00      0.00     -0.00     -0.00      0.00   5261.01      1.00
     sigma[1,3,2]     -0.00      0.00     -0.00     -0.00      0.00   5864.56      1.00
     sigma[1,3,3]      0.00      0.00      0.00      0.00      0.00   6741.58      1.00
     sigma[1,3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma[1,4,0]      0.00      0.00      0.00     -0.00      0.00   5742.04      1.00
     sigma[1,4,1]     -0.00      0.00     -0.00     -0.00      0.00   5294.40      1.00
     sigma[1,4,2]      0.00      0.00      0.00     -0.00      0.00   5247.15      1.00
     sigma[1,4,3]     -0.00      0.00     -0.00     -0.00      0.00   4958.36      1.00
     sigma[1,4,4]      0.00      0.00      0.00      0.00      0.00   8123.33      1.00
     sigma_1[0,0]      0.00      0.00      0.00      0.00      0.00   5330.28      1.00
     sigma_1[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[1,0]     -0.00      0.00     -0.00     -0.00     -0.00   1806.63      1.00
     sigma_1[1,1]      0.00      0.00      0.00      0.00      0.00   2662.38      1.00
     sigma_1[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[2,0]     -0.00      0.00     -0.00     -0.00     -0.00   1944.87      1.00
     sigma_1[2,1]      0.00      0.00      0.00      0.00      0.00   2051.16      1.00
     sigma_1[2,2]      0.00      0.00      0.00      0.00      0.00   2713.70      1.00
     sigma_1[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[3,0]     -0.00      0.00     -0.00     -0.00     -0.00   1888.66      1.00
     sigma_1[3,1]      0.00      0.00      0.00      0.00      0.00   2178.96      1.00
     sigma_1[3,2]      0.00      0.00      0.00      0.00      0.00   2213.84      1.00
     sigma_1[3,3]      0.00      0.00      0.00      0.00      0.00   2254.37      1.00
     sigma_1[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_1[4,0]      0.00      0.00      0.00     -0.00      0.00   3204.23      1.00
     sigma_1[4,1]     -0.00      0.00     -0.00     -0.00     -0.00   1947.21      1.00
     sigma_1[4,2]     -0.00      0.00     -0.00     -0.00     -0.00   1947.47      1.00
     sigma_1[4,3]     -0.00      0.00     -0.00     -0.00     -0.00   1830.22      1.00
     sigma_1[4,4]      0.00      0.00      0.00      0.00      0.00   4057.76      1.00
     sigma_2[0,0]      0.00      0.00      0.00      0.00      0.00   6527.24      1.00
     sigma_2[0,1]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[0,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[0,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[0,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[1,0]     -0.00      0.00     -0.00     -0.00      0.00   6250.12      1.00
     sigma_2[1,1]      0.00      0.00      0.00      0.00      0.00   6252.42      1.00
     sigma_2[1,2]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[1,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[1,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[2,0]     -0.00      0.00     -0.00     -0.00      0.00   5484.27      1.00
     sigma_2[2,1]     -0.00      0.00     -0.00     -0.00      0.00   5281.19      1.00
     sigma_2[2,2]      0.00      0.00      0.00      0.00      0.00   7557.02      1.00
     sigma_2[2,3]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[2,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[3,0]     -0.00      0.00     -0.00     -0.00      0.00   5936.57      1.00
     sigma_2[3,1]     -0.00      0.00     -0.00     -0.00      0.00   5261.01      1.00
     sigma_2[3,2]     -0.00      0.00     -0.00     -0.00      0.00   5864.56      1.00
     sigma_2[3,3]      0.00      0.00      0.00      0.00      0.00   6741.58      1.00
     sigma_2[3,4]      0.00      0.00      0.00      0.00      0.00       nan       nan
     sigma_2[4,0]      0.00      0.00      0.00     -0.00      0.00   5742.04      1.00
     sigma_2[4,1]     -0.00      0.00     -0.00     -0.00      0.00   5294.40      1.00
     sigma_2[4,2]      0.00      0.00      0.00     -0.00      0.00   5247.15      1.00
     sigma_2[4,3]     -0.00      0.00     -0.00     -0.00      0.00   4958.36      1.00
     sigma_2[4,4]      0.00      0.00      0.00      0.00      0.00   8123.33      1.00
    variance_1[0]      0.03      0.00      0.03      0.03      0.04   5385.80      1.00
    variance_1[1]      0.02      0.00      0.02      0.02      0.02   1956.95      1.00
    variance_1[2]      0.02      0.00      0.02      0.02      0.02   2084.50      1.00
    variance_1[3]      0.04      0.00      0.04      0.04      0.04   2189.42      1.00
    variance_1[4]      0.01      0.00      0.01      0.01      0.01   2173.46      1.00
    variance_2[0]      0.03      0.00      0.03      0.03      0.03   6577.08      1.00
    variance_2[1]      0.01      0.00      0.01      0.01      0.01   6210.75      1.00
    variance_2[2]      0.00      0.00      0.00      0.00      0.01   6244.18      1.00
    variance_2[3]      0.00      0.00      0.00      0.00      0.01   5418.10      1.00
    variance_2[4]      0.00      0.00      0.00      0.00      0.00   6155.34      1.00

Mean pvalue is 1.0
number of divergences is 0
[[292   8]
 [  0 300]]
[[292   8]
 [  2 298]]
LOO


Computed from 4000 posterior samples and 600 observations log-likelihood matrix.

         Estimate       SE
elpd_loo  -125.10    39.65
p_loo       45.29        -

There has been a warning during the calculation. Please check the results.
------

Pareto k diagnostic values:
                         Count   Pct.
(-Inf, 0.5]   (good)       14    2.3%
 (0.5, 0.7]   (ok)          4    0.7%
   (0.7, 1]   (bad)         1    0.2%
   (1, Inf)   (very bad)  581   96.8%

WAIC


elpdWAIC is Computed from 4000 posterior samples and 600 observations log-likelihood matrix.

          Estimate       SE
elpd_waic  -145.83    53.24
p_waic       66.02        -

There has been a warning during the calculation. Please check the results.
elpdDIC is [-103.04814]
rse is 3.3395226
rhat is 1.0027341
